TimeStamp,x.1,y.1,z.1,x.2,y.2,z.2
1534109177600000000,-0.00823972125849,-0.0008903133469485,-0.0037495047630133334,-0.04517944778005,0.07248437156276667,-9.75143178304
1534109177700000000,-0.007529631536452,-9.22568346143e-05,-0.004196092556231,-0.04464566484093,0.06861848048866,-9.751207637785999
1534109177800000000,-0.007983334548773,4.852192650950001e-05,-0.0037536771618769996,-0.04601155854761,0.07314404733478,-9.753008270264
1534109177900000000,-0.007705241814256999,-0.00032711772510101,-0.004148520715534,-0.04837360493838,0.07162211537362,-9.757879352569
1534109178000000000,-0.007345937471838,-0.0005761720880399,-0.003930144151674,-0.04740527942778,0.07094411216676,-9.749974060058
1534109178100000000,-0.007994771283121,-0.0005036778720748099,-0.00383049257798,-0.04721637740731,0.07383714765311,-9.746580600738
1534109178200000000,-0.008372031291946,-0.0005585514132693101,-0.00363666571211,-0.04628420583904,0.07777401804924,-9.753426456450999
1534109178300000000,-0.00830642916262,-0.0012536719557818,-0.003925226698627,-0.04876389428974,0.07682347074151,-9.756121730805
1534109178400000000,-0.008514784649015,-0.00043569134140850004,-0.0039751084055750004,-0.04760968126358,0.06607635058462,-9.76384601593
1534109178500000000,-0.008837096299976,-0.0004182197328191,-0.004062801646068,-0.049159717559829993,0.07049411945046,-9.758886241913
1534109178600000000,-0.007497333269568,-0.0006639212850134,-0.0037690998287859996,-0.04707001782954,0.07279875837266,-9.762881660461
1534109178700000000,-0.007971674762665,-0.00032674521498840005,-0.003830045694485,-0.048464690521369994,0.074490237236,-9.749829483031
1534109178800000000,-0.008231848943979,-0.00025859102679508,-0.0038765000179400004,-0.047549569234239995,0.07122061662376,-9.755995178223
1534109178900000000,-0.007512308843434,0.0005060806754051299,-0.003854893264362,-0.045306538417910006,0.07239968404173999,-9.762246227264999
1534109179000000000,-0.008702688571064,0.00011051075268744001,-0.00423427685164,-0.047756501659740005,0.07431813590228001,-9.749709415435
1534109179100000000,-0.00794589528814,-0.00035388396354319997,-0.004091896186583,-0.05126171521843,0.0720622871071,-9.75904045105
1534109179200000000,-0.008067414443939,-2.6132888160100024e-05,-0.003040544758551,-0.047913108393549994,0.07034208886325,-9.759435081482
1534109179300000000,-0.007947795372457999,-0.0002252497026352,-0.0035566092526996993,-0.047839421406390005,0.07212322801351,-9.754374217986001
1534109179400000000,-0.008077472774313001,-2.7641655833419996e-05,-0.00343274336774,-0.04830931238831,0.06897427476943,-9.757524585725
1534109179500000000,-0.0081992152147,-0.00047525392292319997,-0.0036709012230859996,-0.051973893865950006,0.06498925350606,-9.75652332306
1534109179600000000,-0.008238330855964999,-0.0006591529006969099,-0.003731623478234,-0.04577750917526,0.06426987908781,-9.759166622162
1534109179700000000,-0.008048936910926,-0.0004451536107808999,-0.0039490313734859995,-0.0483945377171,0.07082794159649,-9.759375762938001
1534109179800000000,-0.007705390406774,-0.0002117268712024,-0.003959201416,-0.05131142809987001,0.0694801043719,-9.766893863678
1534109179900000000,-0.008081049099564,-0.0005072169238695,-0.0034205988515169997,-0.04303628690541,0.06821629106997999,-9.752981948851
1534109180000000000,-0.008042566664518,-0.00047903509403158,-0.003671608888545,-0.04919026978314,0.06531666405499001,-9.762214374543
1534109180100000000,-0.008707121200863,-0.0005030446627645,-0.004521384974941,-0.052850772440439994,0.07482985034584,-9.765201091765999
1534109180200000000,-0.008085742685944,-0.00014534222900759998,-0.0034392625093469997,-0.05608439520001,0.0731606926769,-9.755200672149
1534109180300000000,-0.008083842787893,-0.00037498773890616,-0.0032916666241359998,-0.04864519834518,0.06744329743088,-9.760595512390001
1534109180400000000,-0.008444935176522,-0.00010481104254740001,-0.0033241510856909006,-0.0423950927332,0.07052662782371,-9.757327079770999
1534109180500000000,-0.008176267333333,-0.00060303139762355,-0.0037296117050570005,-0.04756775572896,0.07685507312420001,-9.756052398682
1534109180600000000,-0.008280985057354,-0.000644326183828989,-0.004313737316988,-0.05059512406588999,0.07167732268572,-9.754490089417
1534109180700000000,-0.007509366050363999,-0.00067206103413025,-0.003708563908002,-0.052401413396,0.07818425893784,-9.76012878418
1534109180800000000,-0.008061453839764001,-0.00093668701228963,-0.0041471422417100005,-0.04839580655098,0.07519925534725,-9.766367244722
1534109180900000000,-0.007810816448181,-0.00032505021554259003,-0.0038275123806670005,-0.04781399965287,0.06653237342834,-9.752330970764
1534109181000000000,-0.008226149063554001,-0.0009291619440769999,-0.003903210372662,-0.04892857708037,0.06840853653848,-9.75054321289
1534109181100000000,-0.008252635784452001,-0.00031018628214974996,-0.0038820133777339996,-0.04566125161945,0.07702466100454,-9.763908576966
1534109181200000000,-0.007948018889873999,-0.00027518717688601,-0.0041561203077440005,-0.05034237727521999,0.07697076722978,-9.758183765412
1534109181300000000,-0.008072629943485,-0.00015540048625555,-0.0035679714288560003,-0.048318891599790005,0.06971704401075,-9.757903575897
1534109181400000000,-0.007849149778487,0.00013811516700985702,-0.0039424376096579995,-0.04654962047934,0.07513807043435,-9.764595413208
1534109181500000000,-0.008498691301793999,-0.0010362826636991,-0.004450306436048,-0.0468994565308,0.07344452776014,-9.756287097930999
1534109181600000000,-0.007749609928579,-0.0006260163965637799,-0.004289522860199,-0.047423566132779996,0.07211449183524,-9.763986682893
1534109181700000000,-0.008196458593017,-0.00017547979587091998,-0.003755055507645,-0.04703613370657,0.07772170156242,-9.754724884034001
1534109181800000000,-0.008420571777969,-0.0001418962958269,-0.004118941747583,-0.04952574893833,0.07619467228652001,-9.760149955749
1534109181900000000,-0.008208789303899,-0.0007493049328332,-0.003391206357628,-0.05255762115122999,0.07576758041978,-9.764750003815
1534109182000000000,-0.008208863809707,-0.0001785531596386,-0.003740973933601,-0.04588728770615,0.07760515213012001,-9.756145858764
1534109182100000000,-0.007669292576612,-0.0004940107304715,-0.003904923843219,-0.04651761054993,0.07426642253995999,-9.756568717958
1534109182200000000,-0.0076989833265550004,-0.00035366047595756,-0.003148950799369,-0.04998964704574,0.07083189487458,-9.760891056062
1534109182300000000,-0.00726331048645,-0.000537782922038,-0.003886372013949,-0.04401368517428,0.07433776967226,-9.748653125763001
1534109182400000000,-0.008446052763611,0.000473018770572,-0.004069767985494,-0.04811124242843,0.06947634890676,-9.762476062774
1534109182500000000,-0.007960312161595,-0.00043492764525558,-0.004088059184142,-0.04364387579262,0.07224692180752999,-9.757443809507
1534109182600000000,-0.008140355814248,-7.646158628609999e-05,-0.003633313113823,-0.05033790376036,0.07259655334056,-9.752731418611
1534109182700000000,-0.008398555498567,-9.212645581995998e-05,-0.003670081682503,-0.051248417422180004,0.07270908877252999,-9.756973171233
1534109182800000000,-0.007894002087415,4.611910844680002e-05,-0.0036946683656440002,-0.04750711992382,0.06917043998837,-9.753686809541
1534109182900000000,-0.007637292472647,-0.00025367365451582,-0.0038275870727399997,-0.04984724670648,0.06649393625558,-9.758720397949
1534109183000000000,-0.008074417617172,0.00012202188991038002,-0.003999285330066,-0.04690266717226,0.06842663362622001,-9.765547275544
1534109183100000000,-0.0074548275209960005,0.00023599711712500002,-0.003965310798958,-0.04152737408876,0.07587843909860001,-9.751785564422999
1534109183200000000,-0.00863376995549,-0.0006498955102866701,-0.0038514658808700003,-0.04418599996718,0.07018912620843,-9.766007423400001
1534109183300000000,-0.007958933711052,-0.0010012648999694,-0.003554113162682,-0.03870862927289,0.0723208863288,-9.756268215179
1534109183400000000,-0.008148439694195,-0.0005899742420296999,-0.0035685675451520003,-0.043426033481940005,0.07117833234369,-9.7513133049
1534109183500000000,-0.007993020396680001,-0.0005550496614895,-0.003848634823225,-0.05297989323734,0.07322962358594001,-9.763397502898
1534109183600000000,-0.007487833732739001,0.00041455028676875,-0.003240183112213,-0.04305476173758,0.06991281993687,-9.756146430968
1534109183700000000,-0.008203983400015,-0.00054199252626782,-0.0036007166374469996,-0.05084712840616,0.07842622622848,-9.754563426972
1534109183800000000,-0.00817872583866,-0.00071158633218135,-0.0034682079451149998,-0.052409490942960005,0.06773143857718,-9.762218189238
1534109183900000000,-0.007661022339017,-0.00035716223355852,-0.003576017892918,-0.04814961999655,0.0692895591259,-9.759391403198
1534109184000000000,-0.007353574130683001,-0.00042267142562200005,-0.003608465148138,-0.045826704800150005,0.07124029137195001,-9.759511852265
1534109184100000000,-0.007874630670995,-0.0007251650269606,-0.00376664121868,-0.04187852181494,0.07604376971722,-9.756199550628
1534109184200000000,-0.00815369207412,-0.0003830344066975,-0.004161894461141,-0.04834416713564,0.07772875726224,-9.755963611602999
1534109184300000000,-0.008111708052455,0.0001696497252964902,-0.003694184240884,-0.04663941785693,0.07627888508142,-9.754822158815
1534109184400000000,-0.008565672114491999,-0.0004883110814262999,-0.0034658239921559995,-0.04476785957815,0.06992966569959999,-9.75023136139
1534109184500000000,-0.00704750446603,-0.00036530199577079997,-0.003464408335277,-0.049170872569070004,0.07411215342582,-9.754074192045
1534109184600000000,-0.007922463351863,-0.00063557180092272,-0.003348067426123,-0.05087092109026,0.07496861964465999,-9.752435874939
1534109184700000000,-0.007666908297687999,-0.0005034916030127,-0.003466047579422,-0.04866395257413,0.07073300927876999,-9.764559078215
1534109184800000000,-0.00823810705915,-0.000717323340359592,-0.003258027136326,-0.05511646941303,0.06804580613972,-9.751460361481
1534109184900000000,-0.007857456896455001,-0.00029241669835712,-0.0034197048982610003,-0.05643650852144,0.06815381497145,-9.750266170501
1534109185000000000,-0.008022785559296999,0.00016102562658469998,-0.004225969361141,-0.04957836084069,0.07106954082845,-9.75770149231
1534109185100000000,-0.0083489344921,-0.00046979636681531995,-0.003598816762679,-0.04932430498303,0.07777425460517,-9.755614280701
1534109185200000000,-0.007943436829373,3.194437158516001e-05,-0.0032294541597380003,-0.05008537545799,0.06521291136742,-9.759723567963999
1534109185300000000,-0.007792227622121001,-1.886860045490998e-05,-0.003852993389591,-0.04816429577768,0.0779882006347,-9.749339771271
1534109185400000000,-0.006262714881443999,0.0049977751681694,-0.0039622362932330195,-0.06681224293963998,0.03441648520512001,-9.759649848938
1534109185500000000,-0.0016037747263837998,0.0027274899184759993,-0.0044941344764000005,0.02033216133722,0.075574856344718,-9.764088535313
1534109185600000000,-0.013487022672791,-0.006047616899010002,-0.0008830431383130002,-0.10519539657985,0.10667293815963494,-9.749697971344
1534109185700000000,-0.011433680029588,-0.0231136571732316,-0.005297400592825,-0.067130265664326,0.10024108216169,-9.712036037440999
1534109185800000000,-0.006491356249889,0.03439266383648,-0.002132058050474,-0.034332454204650004,0.043077485263360006,-9.8104013443
1534109185900000000,-0.007691011391583,-0.015851107612267,-0.0041542949504208,-0.10096885412918,0.1020507533104,-9.712146759034
1534109186000000000,-0.010691080382091,-0.004652813542637002,-0.004764516209256,0.0017435263608710006,0.028891381248939994,-9.800509166723
1534109186100000000,-0.0056258414872044,-0.011227352893927,-0.0030772388217878604,-0.04780683629218001,0.13941854983577,-9.72823343277
1534109186200000000,-0.010027383314445,0.0114955384167617,-0.0028184246039018,-0.03172088451681,0.030951843923079998,-9.781490802767
1534109186300000000,-0.0089495252352219,-0.0017072078771868,-0.0050198848417553,-0.088005885854301,0.08537008687852,-9.729454994200001
1534109186400000000,-0.0071137030201486,0.01565199429168,-0.0009490548167489999,-0.03417910542328,0.06132819047195899,-9.784193420414
